 PedCrashID,crashalcoh,excsspdind,ped_pos,drvr_injur,hit_run,drvr_estsp,exceedSpeed, speed_limi
ReasonPed{crashalcoh='Yes', excsspdind='No', ped_pos='Other / Unknown', drvr_injur='Unknown Injury', hit_run='Yes', drvr_estsp='Unknown', PedCrashID=28, exceedSpeed=-1, speed_limi=30 - 35  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Non-Roadway - Parking Lot / Other', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='0-5 mph', PedCrashID=29, exceedSpeed=-1, speed_limi=Unknown}
ReasonPed{crashalcoh='Yes', excsspdind='No', ped_pos='Paved Shoulder / Bike Lane / Parking Lane', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='26-30 mph', PedCrashID=30, exceedSpeed=-5, speed_limi=30 - 35  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Travel Lane', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='26-30 mph', PedCrashID=31, exceedSpeed=-5, speed_limi=30 - 35  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Crosswalk Area', drvr_injur='Unknown Injury', hit_run='Yes', drvr_estsp='6-10 mph', PedCrashID=32, exceedSpeed=-15, speed_limi=20 - 25  MPH}
ReasonPed{crashalcoh='Yes', excsspdind='No', ped_pos='Travel Lane', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='21-25 mph', PedCrashID=33, exceedSpeed=0, speed_limi=20 - 25  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Sidewalk / Shared Use Path / Driveway Crossing', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='36-40 mph', PedCrashID=34, exceedSpeed=15, speed_limi=20 - 25  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Non-Roadway - Parking Lot / Other', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='0-5 mph', PedCrashID=35, exceedSpeed=-30, speed_limi=30 - 35  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Travel Lane', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='21-25 mph', PedCrashID=36, exceedSpeed=-10, speed_limi=30 - 35  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Crosswalk Area', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='31-35 mph', PedCrashID=37, exceedSpeed=0, speed_limi=30 - 35  MPH}
